DRUGS,ROOTS,VARIANTS
acerumen,acerumen,"a cerumen,
a cerumen unidose b/10 afr,
acerumen sol auriculaire"
able spacer,able spacer,able spacer
ac fusidique,ac fusidique,"ac fusidique goutte auriculaire,
ac fusidique gouttes auriculaires"
acide fusidique,acide fusidique,"acide fusidique,
acide fusidique goutte auriculaire,
acide fusidique pommade"
acefyl,acefyl,"acefyl,
acefyl -sp,
acefyl sirop,
acefyl sp"
acelodon p,acelodon p,acelodon p
acerola,acerola,acerola 1000
acfol,acfol,"acfol,
acfol 5,
acfol 5 mg,
acfol 5 mg comprime,
acfol 5 mg cp,
acfol 5mg,
acfol comp,
acfol comprimes 5 mg,
acfol cp,
acfol cp 5 mg,
acfol gelule"
aciclovir,"aciclovir
aciclovir arrow","aciclovir 200,
aciclovir 200 mg,
aciclovir 200 mg cp,
aciclovir arrow"
acyclovir,acyclovir,acyclovir 200 mg cp
acidaxil,acidaxil,"acidaxil,
acidaxil sp"
acide niflumique,acide niflumique,acide niflumique
aciloc ,aciloc ,aciloc 100
aclav,"aclav, aclav e ,aclav enf, aclav sach","aclav 100 sachets,
aclav 100 sp,
aclav 1000,
aclav 1000 mg,
aclav 1g,
aclav 1g sachet,
aclav 1g sachets,
aclav 1g sch,
aclav 250,
aclav 500,
aclav 500 mg,
aclav 500 mg sachet,
aclav 500 sachet,
aclav 500 sp,
aclav 500/62,5,
aclav 562,5,
aclav enfant,
aclav enfant 500 mg,
aclav sachet 1g,
aclav sachet 500 mg,
aclav sachets 500,
aclav sirop,
aclav sp,
aclav sp 250 mg,
aclav sp enfant,
aclav sach 500,
aclav sirop e,
aclav sp enf
"
acretin ou tretinex,acretin ou tretinex,acretin ou tretinex
acticarbine,acticarbine,acticarbine
actimag,actimag,"actimag plus,
actimag sirop,
actimag sp"
actinac,actinac,"actinac 100,
actinac 100mg,
actinac cp,
actinac plus,
actinac plus cp,
actinac sp"
actisoufre,"actisoufre, actisoufre nasal","actisoufre,
actisoufre spray,
actisoufre spray nasal"
acumol,acumol,"acumol,
acumol 100,
acumol cp"
acupan,"acupan, acupan ou tramadol","acupan,
acupan 1g,
acupan inj,
acupan ou tramadol"
adione,"adione, adione mg","adione,
adione 10,
adione 10 mg,
adione 10mg comprimes,
adione comp,
adione cp,
adione cp 10 mg,
adione10 mg"
adna,"adna, adna actif sbb, adna active, 
adna active de, adna active denk, 
adna allaitement, adna antiplaque, 
adna c, adna ca, adna de, adna diabete, 
adna essentiel, adna essentiels, 
adna funugrec, adna ginseng, adna grossesse, 
adna vit, adna vit c, adna vit c calcium,
 adna vitamine, adna vitamine c ","adna actif sbb, 
adna active,
adna active sol,
adna active bain de bouche,
adna active denk,
adna allaitement
adna antiplaque,
adna bain de bouche,
adna bb,
adna solution,
adna c,
adna ca ++,
adna diabete,
adna essentiel,
adna essentiels,
adna essentiels cp,
adna funugrec,
adna ginseng,
adna grossesse,
adna vit,
adna vit c,
adna vit c cp,
adna vit c/ calcium
adna vitamine,
adna vitamine c"
adoxin,adoxin,adoxin
advil,"advil,
advilmed,
advilsirop","advil,
advil sirop,
advil sp,
advil med sirop,
advilmed sirop,
advilmed sp,
advilsirop"
aerius,"aerius, aerius pellic, aerius ou genset","aerius,
aerius - 0,5mg/ml, fl/60ml,
aerius -sirop,
aerius 10 mg,
aerius 10 mg comprimes,
aerius 5 mg,
aerius 5 mg cp,
aerius 5mg,
aerius comp,
aerius comprime,
aerius cp,
aerius cp 5 mg,
aerius sirop,
aerius sp,
aerius 5mg cp pellic,
aerius sirop ou genset"
afine,"afine, afine c","afine,
afine sp,
afine c adulte"
aftagel,"aftagel, aftagel buccal, aftagelpommade","aftagel,
aftagel pommade,
aftagel gel buccal,
aftagelpommade"
agiderm,"agiderm, agiderm pommmade","agiderm pommade, agiderm pommmade"
aiguille novofine ,aiguille novofine mm,aiguille novofine 4 mm
aiguille novotwist,aiguilles novotwist,aiguilles novotwist
airlix,airlix,"airlix,
airlix cp,
airlix sp"
airtal,airtal,airtal
ajouter,ajouter,ajouter
akerol,akerol,"akerol,
akerol 5 mg,
akerol 5mg,
akerol cp,
akerol cp 5 mg,
akerol sirop,
akerol sp"
albact,albact,"albact 200,
albact cp"
albela,albela,"albela 400,
albela 400 mg"
alben,"alben, alben gh, alben gsk, albendazole, albendazole cpe","alben,
alben -400,
alben 400,
alben 400 cp,
alben 400 mg,
alben 400 mg comprimes,
alben 400 mg sp,
alben cp,
alben cp 400 mg,
alben sirop,
alben sp,
alben sp 200 mg,
alben gh sp,
alben gsk comp,
albendazole 400,
albendazole 400 mg,
albendazole 400 mg sp,
albendazole 400 sp,
albendazole comprime,
albendazole cp,
albendazole flacon,
albendazole sirop,
albendazole sp, 
albendazole 400 mg cpe"
alcof c,alcof c,alcof c
alcool bleu,"alcool bleu, alcool pediatre","alcool bleu 70,
alcool bleu 70, 
alcool pediatre"
aldactone,aldactone,"aldactone 50,
aldactone 50 mg"
aldomet,"aldomet, aldomet enrobe","aldomet 250,
aldomet 250 cp,
aldomet 250 mg,
aldomet 250mg cp,
aldomet 500,
aldomet 500 mg,
aldomet 500mg,
aldomet 500 mg comprime enrobe"
alerbix,alerbix,"alerbix,
alerbix 20 cp,
alerbix sirop"
allerbix,allerbix,allerbix sp
alergosone,alergosone,"alergosone,
alergosone goutte"
allergosone,"allergosone, allergosone buvab","allergosone goutte,
allergosone gouttes,
allergosone sirop,
allergosone sp oral,
allergosone gouttes buvab"
alugosone,alugosone,alugosone sirop
alfamox,alfamox,"alfamox 1 sachets,
alfamox 1g,
alfamox 1g sachet,
alfamox 250,
alfamox 250 mg sirop,
alfamox 250 mg suspension,
alfamox 250mg sp,
alfamox 500,
alfamox 500 mg,
alfamox 500mg,
alfamox sp"
